Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
835,"Nam Jae",Hydro,"Under Construction",100,2018,Laos,"EDL Laos",,,," ",Laos,"Louang Namtha",Namtha,,
836,"Nam Jae Torn Lum",Hydro,Planned,3,,Laos,"Hydro Lao Company Ltd Laos",,,," ",Laos,"Louang Namtha",Namtha,,
837,"Nam Kaem",Hydro,Planned,5,,Switzerland,"SV Group PPNK Switzerland",,,," ",Laos,"Vientiane prefecture",Sisattanak,,
838,"Nam Kai",Hydro,Planned,3,,Thailand,"Padang Construction Company Ltd Thailand",,,," ",Laos,"Vientiane prefecture",Sisattanak,,
839,"Nam Kam",Hydro,Planned,0.5,,Thailand,"Samcharoen Thailand",,,," ",Laos,Houaphan,Xamneua,,
840,"Nam Kam 2",Hydro,Planned,15,,India,"SPS Construction and Electricity Company Ltd India",,,," ",Laos,Bolikhamxai,Viengthong,,
841,"Nam Kam Torn Lum",Hydro,Planned,2.4,,Laos,"Maisak Luang Phrabang Company Ltd Laos",,,," ",Laos,Vientiane,Kasy,,
842,"Nam Kam Torn Teung",Hydro,Planned,15,,USA,"Intra Corporation Company Ltd USA",,,," ",Laos,Vientiane,Kasy,,
843,"Nam Kamtornlum",Hydro,Planned,10,,Thailand,"MP Company Thailand",,,," ",Laos,Oudomxai,Beng,,
844,"Nam Kang",Hydro,Planned,12,,Thailand,"Charoensab Company",,,," ",Laos,Bolikhamxai,Pakkading,,
845,"Nam Kaouan",Hydro,Planned,5,,Laos,"Phongsapthawi Company Laos",,,," ",Laos,Attapu,Xaysetha,,
846,"Nam Ken",Hydro,Planned,5,,Laos,"Hongsa Power Ltd Laos",,,," ",Laos,Xaignabouri,Hongsa,,
847,"Nam Khan 1",Hydro,"Under Construction",101.8,2019,,,,,," ",Laos,Louangphrabang,Phonxay,,
848,"Nam Khan 2",Hydro,Operational,130,2016,"China; Laos","Power Construction Corp"," China China 85 PCT"," EDL Laos 15 PCT",China,"China EXIM Bank China",China,"Power Construction Corp"," China Bureau 10 Co",,
849,"Nam Khan 3",Hydro,Operational,60,2017,"China; Laos","Power Construction Corp 80 PCT China"," EDL 15 PCT Laos",China,"China EXIM Bank China",China,"Power Construction Corp"," China Bureau 10 Co"," Ltd China",,
850,"Nam Khanh Thuy dien Nam Khanh",Hydro,Operational,12,2012,Vietnam,"Cong ty co phan Song Đa 9",,,," ",Vietnam,"Lao Cai","Bac Ha",,
851,"Nam Khok",Hydro,Planned,55,,,,,,," ",Myanmar,Shan,Mongsat,,
852,"Nam Khot Thuy dien Nam Khot",Hydro,Operational,14,2011,Vietnam,"Nam Khot Hydropower JSC.",,,," ",Vietnam,"Son La","Muong La",,
853,"Nam King 3",Hydro,Planned,45,,"Vietnam; Laos","Hoang Anh Giai Lai 80 PCT Vietnam - EDL 20  PCT Laos",,,," ",Laos,Louangphrabang,"Xieng Ngeun",,
854,"Nam Ko",Hydro,Operational,1.5,1996,Laos,"EDL Laos",,,," ",Laos,Oudomxai,Xay,,
855,"Nam Kong 0",Hydro,Planned,24,,,,,,," ",Laos,Xaignabouri,Xayabury,,
856,"Nam Kong 1",Hydro,"Under Construction",150,2021,"China; Laos",EDL," China International Water & Electric Corporation CWE"," Investment and Hydro Power Consultant Sole Co",,,," ",Laos,,
857,"Nam Kong 2",Hydro,Operational,66,2014,Laos,"Chaleun Sekong Energy Co",Vietnam,"Bank for Investment and Development of Vietnam Vietnam",Vietnam,"Hoang Anh Gia Lai",Laos,Attapu,Phouvong,,
858,"Nam Kong 3",Hydro,Operational,54,2020,Laos,"Chaleun Sekong Energy Co",,,"Finland; China",Poyry," China Gezhouba Group Co",Laos,Attapu,,
859,"Nam La Thuy dien Nam La",Hydro,Operational,27,2011,Vietnam,"Noth West VIWASWEEN Hydro Power JSC Vietnam Water and Environment Investment Corporation – JSC",,,," ",Vietnam,"Son La","Muong La",,
860,"Nam Laeng",Hydro,Planned,60,,Vietnam,"Venture Capital and Equipment Inc Vietnam",,,," ",Laos,Phongsali,Phongsaly,,
861,"Nam Lam",Hydro,Planned,5,,Thailand,"Simsalud Advising Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
862,"Nam Leuk",Hydro,Operational,60,2000,Laos,"EDL-GEN Laos","Japan; ADB","Asian Development Bank ADB and the Japan Bank of International Cooperation JBIC",," ",Laos,Bolikhamxai,Thaphabath,,
863,"Nam Lik Kangluang 2",Hydro,Planned,5,,"South Korea","DMD Company Ltd South Korea",,,," ",Laos,Vientiane,Kasy,,
864,"Nam Lik 1",Hydro,Operational,64,2016,"Thailand; South Korea; Laos","Hydro Engineering Thai 40 PCT - PTTi 40 PCT"," EDL 10 PCT Laos"," POSCO 10 PCT South Korea",Thailand,"Thai Banks Thailand","Thailand; South Korea","Hydro Engineering Thailand"," POSCO Engineering and Construction Co South Korea",,
865,"Nam Lik 1-2",Hydro,Operational,100,2010,"China; Laos","CWE China 90 PCT"," EDL Laos 10 PCT Free share",China,"China EXIM Bank China",China,"China International Water and Electric Co China",Laos,Vientiane,,
866,"Nam Lin",Hydro,Planned,36,2021,Myanmar,"MAM Myanmar",,,," ",Myanmar,Shan,Tarchilaik,,
867,"Nam Long",Hydro,Operational,6,2013,Laos,"Luang Paseuth Construction Sole Co"," Ltd LCC 80 PCT Laos"," EDL 20 PCT Laos",,,Laos,"Luang Paseuth Construction Sole Co"," Ltd LCCLaos",,
868,"Nam Long",Hydro,Planned,13.1,,Thailand,"Baktalu Company",,,," ",Laos,Houaphan,Xamneua,,
869,"Nam Long expansion",Hydro,Planned,10.9,,Laos,"Nam Long Power Company Ltd Laos",,,," ",Laos,"Louang Namtha",Long,,
870,"Nam Luang",Hydro,Planned,6,,Thailand,"BML Constructtion and TTF",,,," ",Laos,Bolikhamxai,Viengthong,,
871,"Nam Luc",Hydro,Operational,24,,USA,"South East Asia Capital Group"," Corporation",,,," ",Vietnam,"Son La",,
872,"Nam Lum Had To",Hydro,Planned,4,,Thailand,"Malinitacharoensai Construction Thailand",,,," ",Laos,Bolikhamxai,Viengthong,,
873,"Nam Ma",Hydro,Planned,15,,USA,"Geo-Technology Company USA",,,," ",Laos,"Louang Namtha",Long,,
874,"Nam Ma Thuy dien Nam Ma",Hydro,Unknown,,,,,,,," ",Vietnam,"Lai Chau","Nam Nhun",,
875,"Nam Ma 1",Hydro,Planned,44,,China,"Guangdong Electric Company China",,,," ",Laos,Houaphan,"Muang Et",,
876,"Nam Ma 2",Hydro,Planned,30,,China,"Guangdong Electric Company China",,,," ",Laos,Houaphan,"Muang Et",,
877,"Nam Ma 3",Hydro,Planned,18,,China,"Guangdong Electric Company China",,,," ",Laos,Houaphan,"Muang Et",,
878,"Nam Mad",Hydro,Planned,2,,Thailand,"Taewcharoen Construction"," Transport and Hydropower Company Ltd Thailand",,,," ",Laos,Xaignabouri,,
879,"Nam Mad",Hydro,Planned,15,,Laos,"Phusi Luang Phrabang Construction and Transport Company Ltd Laos",,,," ",Laos,Louangphrabang,Louangphrabang,,
880,"Nam Mad 1",Hydro,"Under Construction",15,2018,Laos,"Lao Relationship Ltd Laos",,,," ",Laos,Xiangkhoang,Nonghed,,
881,"Nam Mad 2",Hydro,"Under Construction",15,2018,Laos,"Lao Relationship Ltd Laos",,,," ",Laos,Xiangkhoang,Nonghed,,
882,"Nam Mang 1",Hydro,Operational,64,2018,"China; Thailand; Laos","Dong Fang 75 PCT China"," A&C 10.75 PCT"," EdL 10 PCT Laos"," and one other 10 PCT.",,,China,"China International Water and Electric Corporation China",,
883,"Nam Mang 3",Hydro,Operational,40,2005,Laos,"EDL GEN Laos","China; Laos","Export-Import Bank of China 80% China and from Electricite du Laos 20% Laos",China,"China International Water and Electric Corporation China Electricite du Laos Laos; Resource Management and Research LLP Kazakhstan from United Kingdom - consultancy UK",Laos,Vientiane,Thoulakhom,,
884,"Nam Merk 1 Nam Meuk 1",Hydro,Planned,10,,Laos,"State Construction and Engineering Laos",,,," ",Laos,Phongsali,Phongsaly,,
885,"Nam Mew 1",Hydro,Planned,15,,Thailand,"Ruengprasert Construction and Electricity Establishment Company Thailand",,,," ",Laos,Phongsali,Phongsaly,,
886,"Nam Mo Nam Mo 2",Hydro,"Under Construction",90,,Vietnam,"Hanoi Investment 65 PCT Vietnam"," Viet-Lao Economical Cooperative General Company 35 PCT Vietnam-Laos","Vietnam; World Bank Group","Bank for Investment and Development of Vietnam Vietnam / MIGA World Bank insured",," ",Laos,Xiangkhoang,,
887,"Nam Mo Thuy dien Nam Mo",Hydro,Operational,18,2013,Vietnam,"Cong ty Đien luc Mien Bac",,,," ",Vietnam,"Nghe An","Ky Son",,
888,"Nam Mo 1",Hydro,Planned,60,,Thailand,"Sahamit Patana Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
889,"Nam Mo 2 Thuy dien Nam Mo 2",Hydro,Operational,12,2010,Vietnam,"Cong ty Đien luc Mien Bac",,,," ",Vietnam,"Lai Chau","Than Uyen",,
890,"Nam Mo 3 Thuy dien Nam Mo 3",Hydro,Operational,10,2010,Vietnam,"Nam Mo Hydro Power JSC",,,," ",Vietnam,"Son La","Bac Yen",,
891,"Nam Mom 2",Hydro,Planned,6.6,,Thailand,"Phongsab Tavi Construction and Transport Ltd Thailand",,,," ",Laos,Houaphan,Xamneua,,
892,"Nam Mon",Hydro,Planned,10,,Thailand,"BML Construction Company"," Ltd.",,,," ",Laos,"Vientiane prefecture",,
893,"Nam Mouan",Hydro,Planned,100,,Singapore,"Asia Invest and Service",,,," ",Laos,Bolikhamxai,Viengthong,,
894,"Nam Mu",Hydro,Operational,12,2004,Vietnam,"Song Da Corporation",,,," ",Vietnam,"Ha Giang","Bac Quang",,
895,"Nam Muc Thuy dien Nam Muc",Hydro,Operational,44,2014,Vietnam,"Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC",,,," ",Vietnam,"Đien Bien","Muong Cha",,
896,"Nam Mue",Hydro,Planned,15,,Laos,"Lao Electricity State Company Laos",,,," ",Laos,Louangphrabang,Louangphrabang,,
897,"Nam Mung",Hydro,Operational,64,2016,"China; Thailand; Laos","Dongfang 75 PCT China"," A&C 10.75 PCT"," EDL 10 PCT Laos"," Xayta Company 4.25 PCT Thailand",,,," ",,
898,"Nam Na 1 Thuy dien Nam Na 1",Hydro,Operational,30,2016,Vietnam,"Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC",,,," ",Vietnam,"Lai Chau","Phong Tho",,
899,"Nam Na 2 Thuy dien Nam Na 2",Hydro,Operational,66,2015,Vietnam,"Hung Hai Lai Chau Construction Co Ltd Cong ty CP tap doan Hung Hai; EVN Vietnam",,,," ",Vietnam,"Lai Chau","Sin Ho",,
900,"Nam Na 3 Thuy dien Nam Na 3",Hydro,Operational,84,2016,Vietnam,"Hung Hai Lai Chau Construction Co Ltd Cong ty CP tap doan Hung Hai; EVN Vietnam",,,," ",Vietnam,"Lai Chau","Nam Nhun",,
901,"Nam Nern 2",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Vientiane,Kasy,,
902,"Nam Neun 1",Hydro,Planned,124,2022,Laos,"Vang Sup Development and",,,,,,,,,
903,"Investment Laos"," THB Group Sole Co Laos"," Khongsub Bridge Construction and Engineering Company Laos",,,," ",Laos,Houaphan,Xamneua,,,,,,
904,"Nam Neun 2",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Xiangkhoang,Kham,,
905,"Nam Neun 3",Hydro,Planned,60,2022,Laos,"Vang Sup Development and",,,,,,,,,
906,"Investment Laos"," THB Group Sole Co Laos"," Khongsub Bridge Construction and Engineering Company Laos",,,," ",Laos,Vientiane,Kasy,,,,,,
907,"Nam Nga 1",Hydro,Planned,100,,Thailand,"Thongcharoen Construction Ltd Thailand",,,," ",Laos,Louangphrabang,Nambak,,
908,"Nam Nga 2",Hydro,Operational,14.5,2018,China,"Nam Nga 2 Hydropower Co"," Ltd. China",,,China,"PowerChina Kunming Co China",Laos,Louangphrabang,,
909,"Nam Ngam 1",Hydro,Planned,5,,Thailand,"Baosaitarn Development Company"," Ltd.",,,," ",Laos,Xiangkhoang,,
910,"Nam Ngao",Hydro,Planned,15,2018,Thailand,"HOANGPRASERT Electricity Group Thailand",Switzerland,"Swiss Carbon Assets involved Switzerland",," ",Laos,Louangphrabang,Nambak,,
911,"Nam Ngao 2",Hydro,Planned,8,,Thailand,"MM Tormsao Company Thailand",,,," ",Laos,Oudomxai,Beng,,
912,"Nam Ngay",Hydro,Operational,12,2001,,,,,," ",Laos,Phongsali,Phongsaly,,
913,"Nam Ngiep 1",Hydro,Operational,290,2019,"Japan; Netherlands; Thailand; Laos","Nam Ngiep 1 Hydropower Co"," KPIC Netherlands subsidiary of Japan’s Kansai Electric Power 45 PCT"," EGAT International 30 PCT"," and the Lao Holding State Enterprise 25 PCT","Japan; ADB","ADB; Japan Bank for International Cooperation Japan",," ",,
914,"Nam Ngiep 2",Hydro,Operational,130,2015,"China; Laos","China International Water and Electric Co China 90 PCT China"," EDL 10 PCT Laos",China,"CDB China Develoment Bank",China,"China International Water & Electric Corp CWE China",Laos,Xiangkhoang,,
915,"Nam Ngiep 2A",Hydro,"Under Construction",12.4,2018,Laos,"Nonghai Group Laos",,,China,"Norconsult Laos",Laos,Xiangkhoang,Khoune,,
916,"Nam Ngiep 2B",Hydro,"Under Construction",8.6,2020,Laos,"Nonghai Group Laos",,,China,"PowerChina Kunming Co China",Laos,Xaisomboun,Thathom,,
917,"Nam Ngiep 2C",Hydro,"Under Construction",13.8,2020,Laos,"Nonghai Group Laos",,,China,"PowerChina Kunming Co China",Laos,Xiangkhoang,Khoune,,
918,"Nam Ngiep 3A",Hydro,Operational,44,2014,Laos,"Chaluen Sekong",,,China,"Dongfang Electric Corporation DEC based in Chengdu China China",Laos,Xiangkhoang,Phaxay,,
919,"Nam Ngob - Muang Xai",Hydro,Planned,38,,Thailand,"Phongsapthawi Construction Company Ltd Thailand",,,," ",Laos,Bolikhamxai,Viengthong,,
920,"Nam Ngom Torn Teng",Hydro,Planned,14,,USA,"LCM Engineering Company Ltd USA",,,," ",Laos,Bolikhamxai,Pakkading,,
921,"Nam Ngum",Hydro,Planned,5,,Laos,"DM Construction Company Ltd Laos",,,," ",Laos,Xaignabouri,Xayabury,,
922,"Nam Ngum 1",Hydro,Operational,155,1971,Laos,"Electricite du Laos","Japan; World Bank Group","World Bank Group; JBIC",Japan,"Japanese contractor Japan",Laos,Vientiane,"Keo Oudom",,
923,"Nam Ngum 1 Extension Phase 1",Hydro,Operational,80,2017,Laos,"Electricite du Laos","China; Japan","China EXIM Bank"," JICA",China,"Dongfang Electric Corp",Laos,Vientiane,,
924,"Nam Ngum 1 Extension Phase 2",Hydro,Planned,40,,Laos,"Electricite du Laos",Japan,"JBIC Japan",," ",Laos,Vientiane,"Keo Oudom",,
925,"Nam Ngum 2",Hydro,Operational,615,2010,"Thailand; Laos; Japan; USA","Nam Ngum 2 Power Co: Ch. Karnchang Thailand 28.5%"," EDL Laos 25%"," Ratchaburi Thailand 25%"," Bangkok Expressway PCL Thailand 12.5%"," Shlapak Group USA 4%"," PT construction & Irrigation Co Laos 4%"," TEAM Consulting Engineering 1%",Thailand,,
926,"Nam Ngum 3",Hydro,"Under Construction",480,2020,Laos,"Electricite du Laos",China,"China EXIM China","China; Laos; France","Chaleun Sekong Energy Co Laos"," Power Construction Corp China"," Artelia France",Laos,,
927,"Nam Ngum 4",Hydro,Planned,240,2023,Laos,"Electricite du Laos",China,"China EXIM China","China; France","China National Heavy Machinery Co China EPC"," Artelia France",Laos,Xiangkhoang,,
928,"Nam Ngum 5",Hydro,Operational,120,2012,"China; Laos","POWERCHINA 85 PCT"," Electricite du Laos 15 PCT",China,"China EXIM Bank China",China,"Power Construction Corp China",Laos,Louangphrabang,,
929,"Nam Nhone",Hydro,Operational,3,2011,Laos,"NamNhone Power Co",,,," ",Laos,Bokeo,Houixai,,
930,"Nam Noua 1",Hydro,Planned,15,,Laos,"Heuangpaseut Co",,,," ",Laos,Phongsali,Phongsaly,,
931,"Nam Ou 1",Hydro,Operational,180,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,"Park Ou",,
932,"Nam Ou 2",Hydro,Operational,120,2017,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,Ngoi,,
933,"Nam Ou 3",Hydro,Operational,210,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Louangphrabang,Ngoi,,
934,"Nam Ou 4",Hydro,Operational,132,2019,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Phongsali,Khua,,
935,"Nam Ou 5",Hydro,Operational,240,2017,"China; Laos","POWERCHINA 85 PCT"," Electricite du Laos 15 PCT",China,"China Development Bank",China,POWERCHINA,Laos,Phongsali,,
936,"Nam Ou 6",Hydro,Operational,180,2017,"China; Laos","POWERCHINA 85 PCT"," Electricite du Laos 15 PCT",China,"China Development Bank",China,POWERCHINA,Laos,Phongsali,,
937,"Nam Ou 7",Hydro,"Under Construction",210,2020,China,POWERCHINA,China,"China Development Bank",China,POWERCHINA,Laos,Phongsali,Phongsaly,,
938,"Nam Ou 8",Hydro,Planned,15,,Thailand,"Ruengprasert Construction and Electricity Establishment Co",,,," ",Laos,Phongsali,Phongsaly,,
939,"Nam Pa Tom Terng",Hydro,Planned,1.8,,Thailand,"Sadsoda Electricity Co"," Ltd.",,,," ",Laos,Attapu,,
940,"Nam Pa Torn Lum",Hydro,Planned,3.2,,Thailand,"Sadsoda Electricity Co"," Ltd.",,,," ",Laos,Attapu,,
941,"Nam Pac Thuy dien Nam Pac",Hydro,"Under Construction",34,2020,Vietnam,"tap doan KOSY",,,," ",Vietnam,"Lai Chau","Phong Tho",,
942,"Nam Pae",Hydro,Planned,13,,"South Korea","Posi Co",,,," ",Laos,Phongsali,Phongsaly,,
943,"Nam Pai",Hydro,"Under Construction",3,2016,Thailand,"PTT Construction and Electricity Ltd.",,,," ",Laos,Oudomxai,Beng,,
944,"Nam Pak",Hydro,Planned,150,2020,"Japan; Laos","Kobe Green Power Co"," Ltd. 40 PCT"," Electricite du Laos 20 PCT"," Unknown investor 20 PCT"," Chaluen Sekong",,,Laos,,
945,"Nam Pak Torn Lum",Hydro,Planned,8,,Thailand,"Longrai Construction and Transport Co"," Ltd.",,,," ",Laos,Champasak,,
946,"Nam Pan 5 Thuy dien Nam Pan 5",Hydro,"Under Construction",32,,,,,,," ",Vietnam,"Nghe An","Con Cuong",,
947,"Nam Pang",Hydro,Planned,5,,Thailand,"Baosaitarn Development Co"," Ltd.",,,," ",Laos,Xiangkhoang,,
948,"Nam Pao",Hydro,Operational,2,2011,Laos,"Simuang Group 87 PCT"," Phudoi Development Co13 PCT",,,," ",Vietnam,"Nghe An",,
949,"Nam Paw",Hydro,"Under Construction",20,,Myanmar,"Great Hor Kham Co",,,," ",Myanmar,Shan,Muse,,
950,"Nam Perm",Hydro,"Under Construction",12,2016,Thailand,"Yodcharoen Co"," Ltd.",,,," ",Laos,"Vientiane prefecture",,
951,"Nam Pha",Hydro,Planned,180,,"Singapore; Laos","Asia Pacific Business Link HND Berhard 80 PCT"," Electricite du Laos 20 PCT",,,," ",Laos,"Louang Namtha",,
952,"Nam Pha Ngai",Hydro,Operational,19.2,2020,Laos,"Nam Pha Ngai Co"," Ltd.",Switzerland,"Swiss Carbon Assets Ltd",Laos,"DSK Group",Laos,Xaisomboun,,
953,"Nam Phak",Hydro,Planned,75,,"Singapore; Laos","Nava Barat 65 PCT"," Electricite du Laos 15 PCT"," Green Kobe Power Co"," Ltd. 20 PCT ",,,," ",,
954,"Nam Phak 1",Hydro,Planned,28,,Laos,"Sahamit Patana Co"," Ltd.",,,," ",Laos,Oudomxai,,
955,"Nam Phak 2",Hydro,Planned,28,,Laos,"Sahamit Patana Co"," Ltd.",,,," ",Laos,Oudomxai,,
956,"Nam Phak 3",Hydro,Planned,40,,Laos,"Sahamit Patana Co"," Ltd.",,,," ",Laos,Oudomxai,,
957,"Nam Phang",Hydro,Operational,36,2012,"USA; Vietnam","IPA Investment"," Bac Ha Energy JSC",,,China,"Zhejiang Hydropower Construction and Installation Co"," Ltd",Vietnam,,
958,"Nam Phay",Hydro,Operational,86,2018,"China; Laos","Norinco 85 PCT"," Electricite du Laos 15 PCT",China,"China EXIM Bank China",," ",Laos,Xaisomboun,,
959,"Nam Phayu",Hydro,Planned,30,,,,,,," ",Laos,Xekong,Dakcheung,,
960,"Nam Phon",Hydro,Planned,52.8,,"France; Laos","Valcan Energy"," ECL",,,," ",Laos,Xaisomboun,,
961,"Nam Phong Blocks 1-2",Gas,Operational,710,1994,Thailand,EGAT,,,," ",Thailand,"Khon Kaen","Nam Phong",,
962,"Nam Phong Power Station",Biomass,Operational,9.9,2012,,,Thailand,,Thailand,"Khon Kaen Sugar Industry Public Company Limited",Thailand,"Khon Kaen","Nam Phong",,
963,"Nam Pia Thuy dien Nam Pia",Hydro,Operational,15,2009,Vietnam,"Lam Son Construction & Commerce Co"," Ltd.",,,," ",Vietnam,"Son La",,
964,"Nam Pim",Hydro,Planned,12,,India,"Asom Powergrid Co"," Ltd.",,,," ",Laos,Attapu,,
965,"Nam Pod",Hydro,Planned,15,,USA,"ACE Consultant",,,," ",Laos,Vientiane,Thoulakhom,,
966,"Nam Pong",Hydro,Operational,32,2014,"Vietnam; Switzerland","Za Hung JSC.",,,," ",Vietnam,"Nghe An","Quy Chau",,
967,"Nam Pord",Hydro,Planned,5,,Thailand,"Tedmani Construction-Transport Co"," Ltd.",,,," ",Laos,Xaignabouri,,
968,"Nam Pot 1",Hydro,"Under Construction",20,,,,,,," ",Laos,Xiangkhoang,Phaxay,,
969,"Nam Puek",Hydro,"Under Construction",5,2018,Thailand,"National Advisory Co"," Ltd.",,,," ",Laos,"Louang Namtha",,
970,"Nam Pui",Hydro,Planned,60,,Malaysia,"Mudajaya Corporation Berhard Malaysia",,,Thailand,"Sukkasoem Construction Thailand",Laos,Xaignabouri,Phiang,,
971,"Nam Pui Torn Lue",Hydro,Planned,5,,Thailand,"Rai Engineering Co",,,," ",Laos,Xaignabouri,Xayabury,,
972,"Nam Pun",Hydro,Planned,60,,,"Sod Tampailaexam",,,," ",Laos,Xaignabouri,Parklai,,
973,"Nam Pung",Hydro,Operational,9.3,2009,Greece,Intracom,,,," ",Vietnam,"Lao Cai","Bat Xat",,
974,"Nam Pung Dam",Hydro,Operational,6,,Thailand,EGAT,,,," ",Thailand,"Sakon Nakhon","Phu Phan",,
975,"Nam Punglau",Hydro,Planned,8,,Thailand,"Xayprajan Construction Co"," Ltd.",,,," ",Laos,Bokeo,,
976,"Nam Pungmalun",Hydro,Planned,4.5,,Laos,"Xaysomboun Construction Tesasadtorn-Hydropower Company Laos",,,," ",Laos,Bokeo,"Pha Oudom",,
977,"Nam Ruay",Hydro,"Under Construction",7,2018,Laos,"Lao Relationship Ltd Laos",,,," ",Laos,Xiangkhoang,Nonghed,,
978,"Nam Rung Torn Lur",Hydro,Planned,5,,Thailand,"Pantamit Patana Construction and Transport Company Ltd Thailand",,,," ",Laos,Xaignabouri,Xayabury,,
979,"Nam Sam",Hydro,Planned,94,,Thailand,"Phongsapthawi Construction and Transport Company Thailand",,,," ",Laos,Houaphan,Xamneua,,
980,"Nam Sam",Hydro,Planned,156,,Thailand,"Phongsapthawi Construction and Transport Company Thailand",,,," ",Laos,Houaphan,Xamneua,,
981,"Nam Sam Taklang",Hydro,Operational,5,2014,Thailand,"Bamtongamtae Company"," Ltd.",,,," ",Laos,Houaphan,,
982,"Nam Sam 1",Hydro,Planned,7,,"USA; United Kingdom","Intra Corp USA and ACAS UK",,,," ",Laos,Bolikhamxai,Viengthong,,
983,"Nam Sami",Hydro,Planned,5,,Thailand,"Simsalud Advising Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
984,"Nam San 3A",Hydro,Operational,69,2016,"Malaysia; Laos","Padaeng Industry PCL EDLLaos"," Rohas Euco Industries Berhad Malaysia",,,Thailand,"Phongsapthawi Construction",Laos,Xiangkhoang,,
985,"Nam San 3B",Hydro,Operational,45,2015,"Malaysia; Laos","Padaeng Industry PCL EDLLaos"," Rohas Euco Industries Berhad Malaysia",,,," ",Laos,Xiangkhoang,,
986,"Nam Sana",Hydro,Operational,14,2015,Laos,"EDL Laos",,,Thailand,"Nawarat Patanakarn Pcl Thailand",Laos,Vientiane,Kasy,,
987,"Nam Sana Tornlum",Hydro,Planned,5,,Thailand,"Tasi Rungruengsab Construction and Transport Company Ltd Thailand",,,," ",Laos,Vientiane,Kasy,,
988,"Nam Sanam",Hydro,Planned,1,,Laos,"Phusi Luang Phrabang Construction and Transport Company Ltd Laos",,,," ",Laos,Louangphrabang,Louangphrabang,,
989,"Nam Sanam",Hydro,Planned,15,,Thailand,"Padthongtam Company Ltd Thailand",,,," ",Laos,Vientiane,Vangvieng,,
990,"Nam Sang",Hydro,Planned,1.2,,Laos,"EDL Laos",,,," ",Laos,Louangphrabang,Louangphrabang,,
991,"Nam Satuay",Hydro,"Under Construction",5,2015,Thailand,"Xamaxay Construction and Bridges Company Thailand",,,," ",Laos,Champasak,Paksong,,
992,"Nam Sayay",Hydro,Planned,2.5,,Thailand,"Patang Longngarn Company Ltd Thailand",,,," ",Laos,"Vientiane prefecture",Sisattanak,,
993,"Nam Ser",Hydro,Planned,53,,Thailand,"Phongsak Thailand",,,," ",Laos,Xekong,Lamarm,,
994,"Nam Seuang 1",Hydro,Planned,30,,"China; Laos","China Sichuan Gurong Group Co"," Ltd China/Chaleun Sekong Laos",,,," ",Laos,Louangphrabang,,
995,"Nam Seuang 2",Hydro,Planned,108,,"China; Laos","China Sichuan Gurong Group Co"," Ltd China"," Chaleun Sekong Laos",,,," ",Laos,,
996,"Nam Seuang 3",Hydro,Planned,42,,"China; Laos","China Sichuan Gurong Group Co"," Ltd China"," Chaleun Sekong Laos",,,," ",Laos,,
997,"Nam Seuang 4",Hydro,Planned,47.1,,"China; Laos","China Sichuan Gurong Group Co"," Ltd China"," Chaleun Sekong Laos",,,," ",Laos,,
998,"Nam Seuang 5",Hydro,Planned,72,,"China; Laos","China Sichuan Gurong Group Co"," Ltd China"," Chaleun Sekong Laos",,,," ",Laos,,
999,"Nam Si Luong 1 Thuy dien Nam Si Luong 1",Hydro,"Under Construction",30,2019,Vietnam,"Cong ty Co phan thuy dien Nam Si Luong 1",Vietnam,"Ngan hang Thuong mai co phan Đau tu va Phat trien Viet Nam Vietnam",," ",Vietnam,"Lai Chau","Muong Te",,
1000,"Nam Si Luong 3 Thuy dien Nam Si Luong 3",Hydro,"Under Construction",21,2020,Vietnam,"Cong ty co phan Song Đa 705 Vietnam",Vietnam,"Ngan hang Thuong mai co phan Đau tu va Phat trien Viet Nam Vietnam",," ",Vietnam,"Lai Chau","Muong Te",,
1001,"Nam Si Luong 4 Thuy dien Nam Si Luong 4",Hydro,"Under Construction",20,2020,Vietnam,"Cong ty co phan Song Đa 705 Vietnam",Vietnam,"Ngan hang Thuong mai co phan Đau tu va Phat trien Viet Nam Vietnam",," ",Vietnam,"Lai Chau","Muong Te",,
1002,"Nam Sim",Hydro,"Under Construction",9.36,2015,Norway,"Energy Development AS Norway 75 PCT"," ECI Laos 25 PCT",Norway,"Norfund Norway",," ",Laos,Houaphan,,
1003,"Nam Song Diversion",Hydro,Operational,6,2012,Laos,"EDL Laos",,,Japan,"Ando Hazama Corporation Japan",Laos,Vientiane,Vangvieng,,
